timestamp,symbol,exchange,bid,ask
1758875263,BTC/USDT,okx,109366.7,109367.0
1758875263,BTC/USDT,binance,109366.23,109366.24
1758875263,BTC/USDT,bybit,108790.56,108790.59
1758875279,ETH/USDT,okx,3928.4,3928.41
1758875279,ETH/USDT,binance,3927.95,3927.9599999999996
1758875279,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875280,SOL/USDT,okx,195.91999999999996,195.96999999999997
1758875280,SOL/USDT,binance,195.98,195.99
1758875280,SOL/USDT,bybit,223.23,228.63599670708217
1758875284,BTC/USDT,okx,109411.6,109414.3
1758875284,BTC/USDT,binance,109403.99,109404.0
1758875284,BTC/USDT,bybit,108790.56,108790.59
1758875301,ETH/USDT,okx,3956.1,3956.3736795682344
1758875301,ETH/USDT,binance,3929.97,3929.98
1758875301,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875302,SOL/USDT,okx,196.16999999999996,196.21052507222842
1758875302,SOL/USDT,binance,196.16999999999996,196.18
1758875302,SOL/USDT,bybit,223.23,228.63599670708217
1758875306,BTC/USDT,okx,109454.0,109454.5
1758875306,BTC/USDT,binance,109458.02,109458.03
1758875306,BTC/USDT,bybit,108790.56,108790.59
1758875323,ETH/USDT,okx,3936.66,3938.0900000000006
1758875323,ETH/USDT,binance,3931.17,3931.18
1758875323,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875324,SOL/USDT,okx,196.16,196.16999999999996
1758875324,SOL/USDT,binance,196.16,196.16999999999996
1758875324,SOL/USDT,bybit,223.23,228.63599670708217
1758875328,BTC/USDT,okx,109454.0,109454.5
1758875328,BTC/USDT,binance,109458.02,109458.03
1758875328,BTC/USDT,bybit,108790.56,108790.59
1758875344,ETH/USDT,okx,3932.34,3932.35
1758875344,ETH/USDT,binance,3931.92,3931.93
1758875344,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875346,SOL/USDT,okx,196.19,196.2299084452524
1758875346,SOL/USDT,binance,196.22,196.23
1758875346,SOL/USDT,bybit,223.23,228.63599670708217
1758875350,BTC/USDT,okx,109481.4,109481.8
1758875350,BTC/USDT,binance,109448.24,109448.25
1758875350,BTC/USDT,bybit,108790.56,108790.59
1758875366,ETH/USDT,okx,3938.7200000000003,3938.73
1758875366,ETH/USDT,binance,3937.22,3937.23
1758875366,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875368,SOL/USDT,okx,196.45,196.46
1758875368,SOL/USDT,binance,196.48,196.48999999999998
1758875368,SOL/USDT,bybit,223.23,228.63599670708217
1758875372,BTC/USDT,okx,109522.3,109522.4
1758875372,BTC/USDT,binance,109515.76,109515.77
1758875372,BTC/USDT,bybit,108790.56,108790.59
1758875387,ETH/USDT,okx,3938.0575319288355,3939.031485389541
1758875387,ETH/USDT,binance,3938.18,3938.19
1758875387,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875388,SOL/USDT,okx,196.45,196.48
1758875388,SOL/USDT,binance,196.5,196.51
1758875388,SOL/USDT,bybit,223.23,228.63599670708217
1758875392,BTC/USDT,okx,109529.0,109529.1
1758875392,BTC/USDT,binance,109515.76,109515.77
1758875392,BTC/USDT,bybit,108790.56,108790.59
1758875408,ETH/USDT,okx,3937.49,3937.5
1758875408,ETH/USDT,binance,3936.1,3936.1100000000006
1758875408,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875409,SOL/USDT,okx,196.33,196.37
1758875409,SOL/USDT,binance,196.43999999999997,196.45
1758875409,SOL/USDT,bybit,223.23,228.63599670708217
1758875413,BTC/USDT,okx,109541.0,109541.3
1758875413,BTC/USDT,binance,109515.75,109515.76
1758875413,BTC/USDT,bybit,108790.56,108790.59560485995
1758875428,ETH/USDT,okx,3940.3,3940.31
1758875428,ETH/USDT,binance,3939.3400000000006,3939.3500000000004
1758875428,ETH/USDT,bybit,4727.961015792654,4739.773584704913
1758875429,SOL/USDT,okx,196.51,196.53
1758875429,SOL/USDT,binance,196.57000000000002,196.58
1758875429,SOL/USDT,bybit,223.23,228.63599670708217
1758875434,BTC/USDT,okx,109541.2,109541.3
1758875434,BTC/USDT,binance,109532.09,109532.1
1758875434,BTC/USDT,bybit,108790.56,108790.6
